age,income,loan_amount,employment_type,education,marital_status,loan_purpose,default
59,535335,735604,Self-Employed,Post-Graduate,Married,Car,0
38,519117,282129,Self-Employed,Post-Graduate,Single,Business,0
21,1200508,458119,Salaried,Graduate,Single,Personal,0
31,1274159,685218,Self-Employed,Post-Graduate,Married,Car,0
48,873061,628374,Self-Employed,High School,Married,Education,0
45,469024,662673,Salaried,Graduate,Single,Home,0
43,289257,86652,Salaried,Post-Graduate,Single,Education,0
51,960872,712614,Salaried,Graduate,Married,Car,0
50,947750,775187,Salaried,Post-Graduate,Divorced,Personal,0
55,312024,635919,Salaried,Post-Graduate,Married,Car,0
27,728010,783936,Salaried,Post-Graduate,Married,Personal,1
36,220077,678372,Self-Employed,Graduate,Married,Business,0
46,1329444,694059,Self-Employed,High School,Married,Car,0
22,1485176,425789,Self-Employed,Graduate,Married,Education,0
21,535482,109019,Self-Employed,Post-Graduate,Married,Home,0
32,917039,725827,Salaried,Post-Graduate,Single,Car,0
25,604655,50372,Salaried,Post-Graduate,Married,Home,0
57,1251174,283865,Unemployed,Graduate,Single,Car,0
52,816585,785097,Self-Employed,Post-Graduate,Single,Car,1
29,212741,252459,Salaried,Post-Graduate,Married,Car,0
55,1317936,121564,Salaried,Graduate,Married,Business,0
39,332321,173297,Salaried,Graduate,Single,Education,0
36,354042,702346,Salaried,Graduate,Married,Business,0
23,215565,113615,Salaried,High School,Divorced,Education,1
40,939354,296576,Self-Employed,Post-Graduate,Married,Home,0
44,925840,341589,Self-Employed,Post-Graduate,Married,Business,0
53,430324,764507,Salaried,High School,Married,Home,0
44,314794,465950,Salaried,Graduate,Married,Car,0
31,833275,215172,Self-Employed,Post-Graduate,Married,Business,1
28,607228,457954,Salaried,Post-Graduate,Married,Business,0
56,1482644,651262,Self-Employed,High School,Single,Car,0
58,519642,695337,Salaried,Graduate,Married,Personal,0
40,1055208,754159,Salaried,Graduate,Single,Home,0
55,323675,112716,Salaried,Graduate,Married,Education,0
45,1310287,381205,Self-Employed,Graduate,Single,Education,0
55,242530,79884,Salaried,Post-Graduate,Married,Education,0
45,410339,576084,Salaried,Graduate,Married,Business,0
49,713207,456970,Salaried,Graduate,Married,Education,0
38,611234,717521,Self-Employed,High School,Divorced,Education,0
38,852524,117713,Self-Employed,High School,Divorced,Car,0
22,1288952,163796,Salaried,Graduate,Single,Home,0
55,1097145,612865,Salaried,Post-Graduate,Single,Business,0
36,840416,104765,Self-Employed,High School,Married,Car,0
56,920406,599129,Self-Employed,Graduate,Married,Car,0
53,1438390,599786,Self-Employed,Graduate,Single,Business,0
24,212437,158567,Self-Employed,Graduate,Divorced,Car,0
53,262146,796005,Self-Employed,Graduate,Single,Personal,0
34,227618,162642,Salaried,Post-Graduate,Married,Business,0
41,1430415,258783,Salaried,Graduate,Divorced,Home,0
40,209705,117229,Self-Employed,Post-Graduate,Married,Business,0
28,419288,439999,Salaried,Post-Graduate,Single,Car,0
27,1067344,113914,Salaried,Graduate,Married,Car,0
23,684172,232275,Self-Employed,Graduate,Married,Home,1
37,252682,274874,Salaried,Graduate,Married,Home,1
53,395785,423543,Self-Employed,High School,Married,Personal,0
32,1354470,536159,Salaried,High School,Single,Business,0
42,387991,675512,Salaried,Graduate,Single,Education,0
42,260384,661053,Salaried,Graduate,Single,Car,0
50,1379088,119703,Unemployed,Post-Graduate,Single,Education,0
58,1037560,727975,Unemployed,Graduate,Single,Car,0
58,1269859,564650,Salaried,Post-Graduate,Married,Home,0
28,1487749,539921,Salaried,Post-Graduate,Single,Education,0
47,1491820,88907,Salaried,Post-Graduate,Married,Car,0
47,340251,474374,Salaried,Graduate,Divorced,Business,0
54,1080872,770403,Salaried,High School,Single,Business,0
41,723743,520099,Salaried,Graduate,Married,Business,0
50,1260531,544930,Self-Employed,Graduate,Single,Car,0
53,600414,234248,Self-Employed,Graduate,Single,Business,0
48,604982,607618,Salaried,High School,Married,Personal,0
53,1345202,753505,Self-Employed,Graduate,Single,Personal,0
25,1056306,105244,Salaried,High School,Married,Home,0
39,577261,777888,Salaried,Graduate,Single,Education,0
24,1122805,258826,Self-Employed,Graduate,Divorced,Car,0
55,607000,90564,Salaried,Post-Graduate,Single,Business,0
37,792247,678251,Salaried,High School,Single,Business,0
48,1381221,265963,Salaried,Post-Graduate,Married,Home,0
50,1272995,754856,Unemployed,Graduate,Single,Car,0
49,937699,695587,Self-Employed,High School,Single,Car,0
26,691986,170972,Salaried,Graduate,Single,Business,0
55,248555,636757,Self-Employed,Graduate,Married,Car,0
57,336248,213433,Salaried,Graduate,Married,Business,0
44,1415809,601542,Unemployed,Graduate,Single,Personal,0
49,918800,678252,Self-Employed,Post-Graduate,Married,Business,0
51,1370658,548752,Salaried,Post-Graduate,Single,Home,0
55,870524,159623,Self-Employed,High School,Single,Home,0
53,670974,67503,Self-Employed,Post-Graduate,Divorced,Business,0
41,749667,518856,Self-Employed,Graduate,Single,Car,0
52,1470837,569098,Self-Employed,Post-Graduate,Married,Education,0
43,1201056,674854,Salaried,Graduate,Married,Personal,0
53,480512,570249,Salaried,Post-Graduate,Single,Education,0
23,1419893,399065,Salaried,Graduate,Single,Personal,0
38,823194,737595,Salaried,Graduate,Single,Personal,0
45,1080219,727047,Salaried,Post-Graduate,Married,Car,0
51,716596,753769,Salaried,Post-Graduate,Divorced,Personal,0
23,756265,574046,Salaried,Graduate,Single,Home,0
44,206714,159264,Self-Employed,Post-Graduate,Married,Home,0
52,306680,345008,Self-Employed,High School,Married,Personal,1
42,1063669,714138,Salaried,Graduate,Married,Business,0
43,776587,210855,Salaried,Post-Graduate,Married,Education,0
22,1101174,409067,Salaried,Graduate,Married,Car,0
47,668668,784270,Self-Employed,Post-Graduate,Married,Personal,1
22,1317022,95596,Salaried,Post-Graduate,Married,Personal,0
46,1463438,461838,Unemployed,Graduate,Single,Personal,0
37,261516,492297,Self-Employed,Graduate,Married,Home,0
53,637466,468708,Self-Employed,Post-Graduate,Single,Home,0
29,1332097,704027,Salaried,High School,Married,Education,0
59,615367,594021,Salaried,Graduate,Married,Car,0
49,1112105,159082,Unemployed,Graduate,Married,Personal,0
46,1423945,62372,Salaried,High School,Single,Home,0
55,518339,686238,Salaried,Graduate,Single,Home,0
45,1070442,347400,Salaried,Graduate,Single,Business,0
44,926376,758305,Salaried,Graduate,Single,Personal,0
33,1454627,123353,Self-Employed,Graduate,Single,Personal,0
27,385406,659045,Salaried,Post-Graduate,Married,Car,0
56,822762,770043,Self-Employed,Post-Graduate,Married,Business,0
40,792633,309923,Self-Employed,Graduate,Married,Personal,0
21,1406578,688975,Salaried,Graduate,Married,Home,0
28,1307693,309739,Self-Employed,Graduate,Divorced,Education,0
36,1009527,417844,Unemployed,Post-Graduate,Single,Car,0
34,1252567,723585,Unemployed,High School,Married,Personal,0
32,223519,632834,Self-Employed,Post-Graduate,Single,Personal,0
43,1013089,58064,Salaried,Graduate,Married,Home,0
35,987258,677361,Salaried,Graduate,Married,Education,0
48,373697,457202,Salaried,Graduate,Married,Home,1
54,623062,771212,Salaried,High School,Married,Home,0
22,239566,499821,Salaried,Graduate,Single,Education,0
52,359435,476059,Salaried,High School,Single,Home,0
43,1122640,268061,Salaried,Graduate,Married,Home,0
42,913297,356150,Salaried,Graduate,Married,Home,0
45,741709,82195,Salaried,High School,Single,Education,0
42,456080,312347,Salaried,Graduate,Single,Home,0
42,278027,357392,Self-Employed,Graduate,Married,Education,0
26,731834,319604,Salaried,Graduate,Divorced,Personal,0
35,533583,692751,Self-Employed,Graduate,Married,Personal,1
57,1002838,798416,Self-Employed,Post-Graduate,Single,Home,0
53,592353,369374,Salaried,High School,Single,Business,0
28,1189327,696556,Unemployed,Post-Graduate,Married,Personal,0
25,441569,235782,Self-Employed,Graduate,Married,Education,0
59,1244583,185427,Salaried,Post-Graduate,Single,Personal,0
24,496317,81935,Salaried,Graduate,Single,Personal,0
26,569215,167739,Self-Employed,Post-Graduate,Married,Home,0
52,496518,576951,Salaried,Graduate,Single,Education,1
50,1179217,222463,Salaried,Graduate,Single,Business,0
55,703166,407047,Unemployed,Post-Graduate,Divorced,Education,0
36,996988,517141,Self-Employed,Graduate,Divorced,Personal,0
33,1127562,792358,Self-Employed,Post-Graduate,Married,Personal,0
50,828842,573662,Self-Employed,High School,Single,Home,0
39,431059,443254,Self-Employed,Graduate,Single,Business,0
37,1293070,753172,Salaried,Graduate,Single,Car,0
39,1142509,240934,Salaried,Post-Graduate,Single,Business,0
48,1071103,584606,Self-Employed,Post-Graduate,Single,Education,0
46,682640,373387,Salaried,Graduate,Single,Home,0
57,1281057,759291,Salaried,Graduate,Married,Car,0
46,1276977,547706,Salaried,Post-Graduate,Married,Car,0
43,764719,160723,Salaried,Graduate,Single,Education,0
29,526603,785153,Salaried,Post-Graduate,Single,Home,0
32,323311,204855,Self-Employed,Graduate,Married,Car,0
21,1497058,611190,Self-Employed,Graduate,Single,Home,0
21,934042,269286,Salaried,Post-Graduate,Single,Education,0
54,1213141,741899,Self-Employed,Graduate,Single,Education,0
52,1194293,786207,Self-Employed,Graduate,Married,Home,1
45,641720,249865,Salaried,Graduate,Married,Education,0
21,596439,620831,Salaried,Graduate,Married,Education,1
36,664193,555263,Salaried,Graduate,Single,Car,0
59,439198,585686,Self-Employed,Graduate,Married,Home,0
25,240149,792668,Salaried,Graduate,Single,Education,0
42,1089920,457988,Salaried,High School,Married,Business,0
49,1409212,385580,Salaried,Post-Graduate,Married,Business,0
23,944984,472227,Unemployed,High School,Married,Education,0
32,1487267,684097,Self-Employed,Graduate,Single,Personal,0
46,551362,100396,Salaried,Post-Graduate,Single,Business,0
36,756420,160583,Unemployed,Graduate,Single,Car,0
57,1374848,116193,Salaried,Graduate,Married,Car,0
42,859893,595128,Self-Employed,Graduate,Married,Car,0
49,938322,236292,Salaried,Post-Graduate,Single,Education,0
34,542240,271039,Salaried,Graduate,Married,Education,0
48,210633,732979,Self-Employed,Graduate,Married,Business,0
25,1430183,672407,Self-Employed,Graduate,Single,Car,0
50,1213165,654349,Salaried,Graduate,Single,Car,0
25,990428,376044,Salaried,Graduate,Married,Personal,0
32,331086,619672,Salaried,Graduate,Married,Education,1
36,1197935,698967,Self-Employed,Post-Graduate,Single,Business,0
46,988106,342061,Salaried,Post-Graduate,Married,Business,0
46,631083,662443,Self-Employed,Graduate,Married,Education,0
41,781539,120071,Self-Employed,Graduate,Single,Car,0
59,911069,654404,Salaried,Graduate,Married,Home,0
56,582306,557184,Self-Employed,Graduate,Single,Business,1
53,348936,117512,Salaried,Post-Graduate,Single,Education,0
50,1403730,762449,Self-Employed,Graduate,Married,Car,0
57,1235238,414117,Self-Employed,High School,Married,Car,0
43,1288707,693168,Salaried,Graduate,Married,Car,0
30,402565,97055,Salaried,Post-Graduate,Married,Personal,0
25,335282,313081,Unemployed,High School,Single,Car,1
56,1493728,792876,Salaried,High School,Married,Personal,0
54,975519,677262,Salaried,Graduate,Married,Education,1
51,1182090,297910,Salaried,Graduate,Single,Car,1
30,1070037,753942,Salaried,Post-Graduate,Single,Education,1
39,759139,472716,Salaried,Graduate,Single,Business,1
52,1013297,238928,Salaried,Post-Graduate,Single,Car,0
21,1070038,587241,Salaried,Post-Graduate,Married,Personal,0
25,335230,117052,Self-Employed,Post-Graduate,Married,Business,0
24,321497,227412,Salaried,Graduate,Single,Education,0
36,1087518,617330,Salaried,Post-Graduate,Single,Home,0
44,1007004,431324,Salaried,Graduate,Single,Education,0
36,1424117,207579,Salaried,Post-Graduate,Married,Business,0
22,391933,699053,Salaried,Graduate,Single,Business,0
48,1042235,183425,Salaried,Post-Graduate,Single,Business,0
52,930379,324143,Salaried,High School,Single,Car,0
47,267323,637422,Salaried,Post-Graduate,Married,Education,0
40,1216491,790609,Self-Employed,Post-Graduate,Married,Education,0
44,933210,254901,Unemployed,Graduate,Divorced,Personal,0
32,1483829,120086,Salaried,Graduate,Married,Education,0
55,1467766,95248,Self-Employed,Graduate,Divorced,Personal,0
53,449596,537170,Salaried,Graduate,Married,Home,0
53,475212,308945,Self-Employed,Post-Graduate,Married,Car,0
57,379598,374393,Self-Employed,Post-Graduate,Married,Education,1
32,315729,771194,Self-Employed,High School,Single,Home,0
23,276593,217956,Self-Employed,Graduate,Divorced,Education,0
21,1303617,581935,Salaried,High School,Single,Personal,1
53,1483690,118079,Salaried,Graduate,Married,Home,1
30,525516,791139,Salaried,Post-Graduate,Married,Education,0
49,1078531,251386,Self-Employed,High School,Single,Home,0
33,1221173,654382,Self-Employed,Post-Graduate,Divorced,Home,0
32,1386737,103546,Salaried,Graduate,Divorced,Car,0
51,1003055,296047,Salaried,Post-Graduate,Married,Car,0
22,1036073,397769,Self-Employed,High School,Single,Home,0
55,1315148,310993,Salaried,High School,Married,Education,0
43,1181640,510953,Salaried,Graduate,Single,Home,0
37,1335276,605288,Salaried,Post-Graduate,Divorced,Education,0
46,257061,646401,Salaried,High School,Single,Personal,0
28,1366533,717989,Salaried,Graduate,Married,Business,0
49,992554,504741,Salaried,Graduate,Married,Education,0
46,1033778,450138,Salaried,High School,Single,Car,0
30,1476970,176956,Unemployed,Graduate,Married,Education,0
46,1100425,276371,Salaried,Post-Graduate,Single,Business,0
54,609366,250544,Self-Employed,Post-Graduate,Single,Home,1
27,1336206,673582,Self-Employed,Graduate,Married,Personal,0
24,277228,146155,Unemployed,High School,Single,Personal,0
31,474198,428683,Self-Employed,Graduate,Single,Business,0
49,726055,413157,Self-Employed,Post-Graduate,Single,Personal,0
56,204708,496375,Self-Employed,Post-Graduate,Single,Education,0
45,776446,560525,Salaried,Graduate,Married,Home,0
41,1146796,686158,Salaried,Graduate,Single,Education,0
56,228082,117714,Salaried,Post-Graduate,Single,Business,0
30,234024,669454,Salaried,Graduate,Married,Car,0
57,1225951,161992,Salaried,Graduate,Married,Personal,0
29,485605,705338,Salaried,Graduate,Single,Business,0
44,1253927,436246,Salaried,High School,Divorced,Home,0
55,1069060,726678,Self-Employed,Graduate,Divorced,Car,0
55,304720,179244,Unemployed,Graduate,Single,Home,0
56,720751,207691,Salaried,Post-Graduate,Divorced,Education,1
38,326875,551145,Salaried,Graduate,Married,Car,0
59,946572,123640,Unemployed,Post-Graduate,Divorced,Personal,0
52,868137,712698,Self-Employed,Post-Graduate,Divorced,Car,0
44,339380,378848,Self-Employed,Graduate,Married,Education,0
43,837970,441655,Salaried,Graduate,Single,Personal,0
52,280865,523939,Self-Employed,Graduate,Divorced,Education,0
57,213882,368644,Self-Employed,High School,Married,Education,0
32,314883,509699,Salaried,Post-Graduate,Single,Personal,0
33,1471234,537887,Salaried,Graduate,Married,Personal,0
43,374504,192395,Salaried,Graduate,Single,Education,0
45,1460937,785446,Salaried,Post-Graduate,Divorced,Education,0
55,1197670,380307,Unemployed,Graduate,Married,Personal,1
50,850222,524984,Salaried,Graduate,Single,Education,0
37,924605,702479,Self-Employed,Graduate,Single,Home,0
40,567209,724016,Self-Employed,Post-Graduate,Single,Home,0
45,711415,590832,Salaried,High School,Married,Home,0
42,957939,100936,Self-Employed,Graduate,Married,Home,0
33,1288106,764648,Salaried,Graduate,Married,Education,0
39,339906,269590,Salaried,Graduate,Married,Education,0
56,287193,331710,Unemployed,Graduate,Single,Car,1
32,381393,573322,Salaried,Graduate,Married,Car,0
39,945723,589168,Salaried,Graduate,Single,Car,0
32,1453357,193008,Self-Employed,Graduate,Single,Car,0
29,478829,586486,Self-Employed,Graduate,Single,Education,0
27,316254,58376,Self-Employed,Graduate,Single,Car,0
48,866716,117432,Self-Employed,Post-Graduate,Divorced,Education,0
34,1431010,421935,Salaried,Post-Graduate,Divorced,Home,0
51,735632,478388,Self-Employed,High School,Married,Education,0
39,244619,265531,Self-Employed,Graduate,Married,Car,0
36,698750,460332,Salaried,Graduate,Married,Education,0
25,674547,637583,Salaried,Graduate,Divorced,Education,0
55,426351,453029,Salaried,Post-Graduate,Single,Personal,0
32,1381591,625601,Salaried,Graduate,Single,Car,0
